"book_id","title","author","categories"
"5a64fe6cb238e10007b0c9dc","Football Leaks","Rafael Buschmann & Michael Wulzinger","Society & Culture"
"5b70e764b238e10007366aff","Transformationale Produkte","Matthias Schrader","Technology & the Future, Entrepreneurship"
"55c8acb73864640007230000","One of Us","Åsne Seierstad","Politics, Biography & Memoir"
"5977314bb238e10005703355","Inventing the Future","Nick Srnicek, Alex Williams","Technology & the Future, Society & Culture"
"56d41614bb82ae000700001d","Startup Growth Engines","Sean Ellis, Morgan Brown","Entrepreneurship"
"5f4cb9296cee0700061958e9","Wut ist ein Geschenk","Arun Gandhi","Philosophy, Mindfulness & Happiness, Biography & Memoir"
"5b203354b238e100070025c7","Multipliers","Liz Wiseman","Management & Leadership"
"5eb4282a6cee070006d986c4","Untamed","Glennon Doyle","Motivation & Inspiration, Biography & Memoir"
"58531f4158b1350004ed1793","Die spinnen, die Jungen!","Steffi Burkhart","Communication Skills, Career & Success"
"55062a72666365000a6c0000","The Moral Case for Fossil Fuels","Alex Epstein","Nature & Environment"
"54aa9eb03463330009000000","Der gescheiterte Staat","Noam Chomsky","Politics"
"5d0d0c806cee07000880d5f3","Komisch, alles chemisch!","Mai Thi Nguyen-Kim","Science"
"5ad59e99b238e100079b48e7","Titan","Ron Chernow","Biography & Memoir"
"538f36bf39616200070e0100","Creativity, Inc.","Ed Catmull with Amy Wallace","Motivation & Inspiration, Creativity, Management & Leadership"
"5e70e0646cee070006244015","Funkenflug","Hauke Friederichs","History"
"55e4694f2852cc00090000bd","Triggers","Marshall Goldsmith and Mark Reiter","Psychology, Motivation & Inspiration"
"5e64f1546cee070006a1dbc1","Warum nur ein Green New Deal unseren Planeten retten kann","Naomi Klein","Nature & Environment, Politics"
"53cf602c3630650007010000","Ökonomics","Tim Harford","Economics"
"5ec43de76cee0700065ba12f","Touching the Rock","John M. Hull","Philosophy, Religion & Spirituality, Biography & Memoir"
"58a8cdce95f5390004fb0fa2","Die Würde ist antastbar","Ferdinand von Schirach","Philosophy, Society & Culture"
"5e6b974c6cee07000645d7ff","Eure Heimat ist unser Albtraum","Fatma Aydemir & Hengameh Yaghoobifarah (Hrsg.)","Society & Culture"
"52bec84b3933330008010000","Lincoln on Leadership","Donald T. Phillips","Management & Leadership"
"55ed56df11ad1a00090000dd","Picture Your Prosperity","Ellen Rogin and Lisa Kueng","Money & Investments"
"50b3a29fe4b00d0268f2589f","Selling the Invisible","Harry Beckwith","Marketing & Sales, Communication Skills, Management & Leadership"
"5c28e1b36cee070008e7a3b7","The Art of Gathering","Priya Parker","Society & Culture"
"5f8963526cee070007a86bb8","Weird","Olga Khazan","Psychology, Personal Development, Motivation & Inspiration"
"5385ff1f6162380007600100","The Future of the Mind","Michio Kaku","Psychology, Technology & the Future"
"538f1caf3761300007710000","Innovation and Entrepreneurship","Peter Drucker","Entrepreneurship"
"5d5bc18b6cee070007c140a9","Scharfstellung","Heike Melzer","Sex & Relationships"
"5f3f9bbb6cee070006d1d227","Reich werden mit Familienunternehmen","Beate Sander","Money & Investments"
"58f4ae921507cf00046b99a8","Ausgereizt!","Kurt-Georg Scheible","Management & Leadership, Economics"
"56e6e5349854a50007000113","The Science of Kissing","Sheril Kirshenbaum","Science, Sex & Relationships"
"5463378966346600083e0000","Lead with a Story","Paul Smith","Communication Skills, Management & Leadership"
"5485c9f363316200095d0000","Die Kunst des klugen Fragens","Warren Berger","Communication Skills, Management & Leadership"
"56c060244f33cc000700001b","The Future of the Professions","Richard Susskind and Daniel Susskind","Technology & the Future"
"5be013ed6cee07000777c8e8","The Personality Brokers","Merve Emre","Education, Psychology"
"590347f0b238e10008b85657","Achtsamkeit","Michael Zimmermann, Christof Spitz & Stefan Schmidt","Mindfulness & Happiness"
"5dfcc60a6cee07000788a295","A Warning","Anonymous","Politics"
"58bc915fc7c53e00041d65c9","Whole","T. Colin Campbell","Science, Health & Nutrition"
"5a65babfb238e100076c4ef3","My Stroke of Insight","Jill Bolte Taylor","Science, Biography & Memoir"
"5d3ce1526cee070008098153","How to Skimm Your Life","The Skimm","Personal Development"
"5c9687686cee070008b872c9","Burnout","Emily Nagoski, PhD, Amelia Nagoski, DMA","Health & Nutrition"
"5ef5fa566cee0700067fcf92","Hiring Success","Jerome Ternynck","Corporate Culture, Management & Leadership"
"5800e244230ff80003a1b872","Regretting Motherhood","Orna Donath","Parenting, Society & Culture"
"5ca337916cee070007a59384","Under Pressure","Lisa Damour","Parenting"
"5f6db6a76cee070006551cce","It's the Manager","Jim Clifton, Jim Harter","Management & Leadership"
"547344cc3635610009600000","Crazy is a Compliment","Linda Rottenberg","Entrepreneurship"
"53fb87473731620008000000","How to Become a Straight-A Student","Cal Newport","Education, Career & Success"
"5b15516cb238e100070f468a","Isaac Newton","James Gleick","Biography & Memoir"
"5d131efd6cee070007d74bb0","New Work needs Inner Work","Joana Breidenbach & Bettina Rollow","Corporate Culture, Entrepreneurship"
"530c801e3462310008690000","The Paradox of Choice","Barry Schwartz ","Psychology, Society & Culture"
"5f8068536cee07000629e9a5","Clean","James Hamblin","Science, Health & Nutrition, History"
"5ee38a8d6cee070006dd528a","Unsicherheit","Achim Peters","Psychology"
"5d889d1c6cee0700095f1573","Der Loop-Approach","Sebastian Klein & Ben Hughes","Management & Leadership, Entrepreneurship"
"572b824b2c9d0b000358d93e","On the Move ","Oliver Sacks","Psychology, Biography & Memoir"
"58558f631219060004019dbd","Getting The Love You Want","Harville Hendrix","Sex & Relationships"
"5e70e5b16cee070006244024","The Greater Freedom","Alya Mooro","Society & Culture, Biography & Memoir"
"595a1d84b238e100069fb36d","Extreme Productivity","Robert C. Pozen","Productivity, Career & Success"
"55e46bc82852cc00090000db","Triggers","Marshall Goldsmith und Mark Reiter ","Psychology"
"54b3b5df6466330009750000","Quitter","Jon Acuff","Career & Success"
"583d6bfce536360004b64eef","The Devil in the White City","Erik Larson","Biography & Memoir"
"5b7d2c88b238e100077602ae","How Successful People Think","John C. Maxwell","Corporate Culture, Career & Success"
"599304fcb238e100058f78b6","Investing With Impact","Jeremy K. Balkin","Money & Investments"
"558072946232320007800000","A Curious Mind","Brian Grazer and Charles Fishman ","Career & Success, Motivation & Inspiration"
"5c10e19d6cee0700079356c0","Think Like an Entrepreneur, Act Like a CEO","Beverly E. Jones","Management & Leadership, Entrepreneurship"
"59981eb2b238e10005eeaebd","Weapons of Math Destruction","Cathy O’Neil","Technology & the Future, Economics"
"5485c5396331620009220000","Power","Jeffrey Pfeffer","Career & Success, Motivation & Inspiration, Management & Leadership"
"5e2700406cee0700063de2f3","Utopien für Realisten","Rutger Bregman","Society & Culture, Economics"
"59dce465b238e10007fea0a5","Willful Blindness","Margaret Heffernan","Management & Leadership"
"54d89b8b383963000a780000","I.O.U.","John Lanchester","Economics"
"5ac061d9b238e10007c07cdd","Life 3.0","Max Tegmark","Technology & the Future"
"5e5fa7e56cee0700069aea85","Miro","Ronald Reng","Biography & Memoir"
"54fdbdea626661000a250000","Factory Man","Beth Macy","Economics"
"53d8cc3d3930340007600100","Positionierung – das erfolgreichste Marketing auf unserem Planeten","Peter Sawtschenko","Marketing & Sales"
"5c6166756cee070007658a19","Hit Refresh","Satya Nadella","Technology & the Future, Biography & Memoir"
"54bd2d323465370009780000","Rookie Smarts","Liz Wiseman","Education, Corporate Culture, Career & Success"
"5ab6e5ccb238e10005bf58a0","Das 4-Stunden-Startup","Felix Plötz","Entrepreneurship"
"5cd6a9b06cee070008f573b2","Projekt Europa","Kiran Klaus Patel","Education, History"
"5d2ee4776cee070007a717de","Truth","Hector MacDonald","Psychology, Philosophy"
"529364c9623136000c0b0000","The Rational Optimist","Matt Ridley","Economics"
"5f5785816cee0700066abc78","Über Leben","Dirk Steffens, Fritz Habekuß","Nature & Environment"
"5ec7aab56cee0700066d1bdb","Reading People","Anne Bogel","Psychology"
"5b9b8e64862c4300079dff0e","Make Trouble","Cecile Richards (with Lauren Peterson)","Society & Culture, Biography & Memoir"
"599091e4b238e100058f77f8","Kommunikationstraining"," Vera F. Birkenbihl","Communication Skills"
"553ffdf56233390007170000","Blood Feud","Edward Klein","Politics"
"52e7caa93635320008050000","The Bottom Billion","Paul Collier","Politics"
"572f0038a35db30003e6be04","In the Name of Identity","Amin Maalouf","Society & Culture"
"599c4148b238e10005eeb60a","Lesen als Medizin","Andrea Gerk","Motivation & Inspiration"
"5ed6bc726cee0700060d2141","HypnoBirthing","Marie F. Mongan","Parenting"
"59d26759b238e10005435bbc","Black Edge","Sheelah Kolhatkar","Money & Investments, Biography & Memoir"
"5da5d9376cee070008285a75","This is Going to Hurt","Adam Kay","Science, Biography & Memoir"
"543473c666636200081b0000","Guerrilla Marketing","Jay Conrad Levinson","Marketing & Sales"
"5cc44e3a6cee070008a1563c","Die grüne Lüge","Kathrin Hartmann","Nature & Environment, Economics"
"566ebbd4ddd17a0007000003","The One-Page Financial Plan","Carl Richards","Money & Investments"
"534ec41a6531660007650000","Learned Optimism","Martin Seligman","Mindfulness & Happiness, Personal Development"
"519de6f1e4b0a17389a8ac0b","Breakout Nations","Ruchir Sharma","Money & Investments, Economics"
"5f3b03e26cee070006c39b49","King Leopold's Ghost","Adam Hochschild","History"
"5e52a7216cee0700079a1a4e","The Job-Ready Guide","Anastasia de Waal","Career & Success"
"5ee906066cee070007e60dd4","Untrue","Wednesday Martin PhD","Science, Sex & Relationships"
"5e4bc50a6cee070006209ee5","The Joy of Movement","Kelly McGonigal","Health & Nutrition"
"5dfcbebc6cee0700087f97d0","Auszeit im Café am Rande der Welt ","John Strelecky","Philosophy, Motivation & Inspiration"
"57690521ae95d80003cf7722","Wie viele Sklaven halten Sie?","Evi Hartmann","Society & Culture, Economics, Politics"
"5f6dba4c6cee070006551cdd","The Myth of Sanity","Martha Stout","Psychology"
"5852b80b58b1350004ed16b4","Grenzenlose Energie","Anthony Robbins","Personal Development, Motivation & Inspiration"
"5f3afe716cee070006f8f1e7","Die Chinesen","Stefan Baron & Guangyan Yin-Baron","Society & Culture"
"579b53efd3d01e000379c806","Sechs Getränke, die die Welt bewegten","Tom Standage","Society & Culture, History"
"5b285192b238e1000787b444","Doughnut Economics","Kate Raworth","Economics"
"5c5aa30d6cee0700085d0fa1","Happy Ever After","Paul Dolan","Mindfulness & Happiness"
"562e412f3864310007880000","Making the Modern World","Vaclav Smil","Technology & the Future, Society & Culture"
"54c8aed0663337000a2e0000","The End of Power","Moisés Naím","Politics"
"537379cf6434360007680100","The Pomodoro Technique","Francesco Cirillo","Productivity"
"541036a83635620008c50000","Wenn Gott würfelt","Leonard Mlodinow","Science"
"5e44c5296cee0700074fc83d","Leben, schreiben, atmen","Doris Dörrie","Motivation & Inspiration, Biography & Memoir"
"5f47d8d36cee070006d18d79","A Handbook for New Stoics","Massimo Pigliucci, Gregory Lopez","Philosophy, Personal Development"
"56d42893bb82ae000700003b","Widgets","Rodd Wagner","Corporate Culture"
"5da5d29c6cee0700074e3418","Tools and Weapons","Brad Smith and Carol Ann Browne","Technology & the Future"
"5518a2ea3961320007ba0000","Legendary Service","Ken Blanchard, Kathy Cuff and Vicki Halsey","Marketing & Sales"
"5bc3c93a6cee070007b4c980","Women, Food and God","Geneen Roth","Sex & Relationships, Health & Nutrition"
"5eac43e56cee070006f0468c","Handbuch Fundraising","Marita Haibach","Money & Investments, Entrepreneurship"
"5b3ae222b238e1000752dc73","Schluss mit Prokrastination","Petr Ludwig & Petra Kubin & Gernot Bogner","Productivity"
"57dd7d0bf9916500030ea769","Flat Earth News ","Nick Davies","Society & Culture"
"59ef20c6b238e100064554d5","UnMarketing","Scott Stratten and Alison Stratten","Marketing & Sales"
"5f64be566cee07000623d52f","Big Potential","Shawn Achor","Personal Development, Career & Success"
"553fbbe66136310007510000","Himmel und Hölle","Jennifer Senior","Parenting"
"584e99b93a41200004701651","Follow Your Gut","Rob Knight with Brendan Buhler","Science, Health & Nutrition"
"5b611d59b238e10006c07c29","Reach Out","Molly Beck","Communication Skills"
"59e51ce4b238e100062ad240","Alibaba","Duncan Clark","Economics"
"5b475f19b238e10007b7ec89","Das kleine Buch von der Seele","Achim Haug","Psychology"
"5c3cfe796cee07000791ad40","Blue Ocean Shift","W. Chan Kim & Renée Mauborgne","Management & Leadership, Entrepreneurship"
"5af84a5cb238e100073a222d","Die Anfänge von allem","Jürgen Kaube","History"
"5f8028cf6cee07000646ad16","2030","Mauro F. Guillén","Nature & Environment, Technology & the Future, Society & Culture, Economics"
"580bb680d4d2ce0003dd24fe","Zone To Win","Geoffrey A. Moore","Management & Leadership"
"5c764dc96cee070007075197","The First Conspiracy","Brad Meltzer and Josh Mensch","Politics, History"
"5bccab136cee0700072063c1","Wollen wir ewig leben?","Barbara Ehrenreich","Health & Nutrition"
"5bfd70286cee070007f920b0","Die Illusion der Unbesiegbarkeit","Andreas Krebs & Paul Williams","Management & Leadership"
"5f0d661c6cee0700061678ed","Unorthodox","Deborah Feldman","Religion & Spirituality, Biography & Memoir"
"5a3bc410b238e10007128b47","The Stuff of Thought","Steven Pinker","Psychology, Science"
"5ddd4fd76cee0700085f3200","Metahuman","Deepak Chopra","Religion & Spirituality"
"56ebec6370f3820007000056","Menschen lesen","Joe Navarro","Psychology"
"5e541ab16cee0700079a22ba","The 4 Day Week","Andrew Barnes with Stephanie Jones","Productivity, Corporate Culture, Society & Culture"
"5eac3f4a6cee070007dcb28b","Future Shaper","Niamh O'Keeffe","Technology & the Future, Management & Leadership"
"58c6c1618d90030004072658","Miteinander reden: Band 3","Friedemann Schulz von Thun","Communication Skills"
"57bb4a45003a4b0003f1a856","The Millionaire Real Estate Agent","Gary Keller with Dave Jenks and Jay Papasan","Money & Investments"
"5c1a4e756cee070007a2ed79","Why Religion?","Elaine Pagels","Religion & Spirituality, Biography & Memoir"
"540477793663330008160000","The Five Elements of Effective Thinking","Edward B. Burger and Michael Starbird","Career & Success"
"5eff44546cee070006b9c3db","Why Does He Do That?","Lundy Bancroft","Psychology, Sex & Relationships"
"5c34d2bd6cee0700076844e0","The New Rules of Work","Alexandra Cavoulacos & Kathryn Minshew","Career & Success"
"5c35b31e6cee07000768457f","Integration","Hamed Abdel-Samad","Society & Culture"
"5d00ff286cee070007e60015","Tell Me More","Kelly Corrigan","Communication Skills, Biography & Memoir"
"5ed142936cee070006a5a2c4","Alles Idioten!?","Thomas Erikson","Psychology, Communication Skills"
"5f35a2316cee07000600525e","Mid-Love-Crisis","Silvia Fauck","Sex & Relationships"
"56c062b14f33cc0007000035","Traffic","Tom Vanderbilt","Psychology, Society & Culture"
"5948c80fb238e10005eecf6a","Negotiating the Nonnegotiable","Daniel Shapiro","Communication Skills, Management & Leadership"
"566610d5cb2fee0007000023","Mindful Work","David Gelles","Mindfulness & Happiness, Corporate Culture"
